i,x,probability
192,[1 1 0 0 1 0 0 0 1 0],0.0011264639970699796
193,[1 1 0 0 1 0 0 0 0 1],0.0008515596901947611
194,[1 1 0 0 0 1 1 0 0 0],0.0007142978832524569
195,[1 1 0 0 0 1 0 1 0 0],0.0008437647366402879
196,[1 1 0 0 0 1 0 0 1 0],0.0011536794116095497
197,[1 1 0 0 0 1 0 0 0 1],0.0008721334058520036
198,[1 1 0 0 0 0 1 1 0 0],0.0009119276026647472
199,[1 1 0 0 0 0 1 0 1 0],0.001246878489212438
200,[1 1 0 0 0 0 1 0 0 1],0.0009425880123519773
201,[1 1 0 0 0 0 0 1 1 0],0.0014728758473737979
202,[1 1 0 0 0 0 0 1 0 1],0.0011134325673500067
203,[1 1 0 0 0 0 0 0 1 1],0.0015223962004883957
204,[1 0 1 1 1 0 0 0 0 0],0.0012023868764143273
205,[1 0 1 1 0 1 0 0 0 0],0.001231436590709388
206,[1 0 1 1 0 0 1 0 0 0],0.0013309172204455477
207,[1 0 1 1 0 0 0 1 0 0],0.0015721466412386975
208,[1 0 1 1 0 0 0 0 1 0],0.0021495958923931973
209,[1 0 1 1 0 0 0 0 0 1],0.0016250046312457202
210,[1 0 1 0 1 1 0 0 0 0],0.0009973202498182261
211,[1 0 1 0 1 0 1 0 0 0],0.0010778879763654675
212,[1 0 1 0 1 0 0 1 0 0],0.0012732557184189494
213,[1 0 1 0 1 0 0 0 1 0],0.0017409223735789976
214,[1 0 1 0 1 0 0 0 0 1],0.0013160645355325654
215,[1 0 1 0 0 1 1 0 0 0],0.001103929792331453
216,[1 0 1 0 0 1 0 1 0 0],0.0013040176267282986
217,[1 0 1 0 0 1 0 0 1 0],0.0017829831266979645
218,[1 0 1 0 0 1 0 0 0 1],0.0013478607065495786
219,[1 0 1 0 0 0 1 1 0 0],0.0014093616579782173
220,[1 0 1 0 0 0 1 0 1 0],0.0019270200065430586
221,[1 0 1 0 0 0 1 0 0 1],0.0014567465662810447
222,[1 0 1 0 0 0 0 1 1 0],0.002276293359456455
223,[1 0 1 0 0 0 0 1 0 1],0.0017207826197846174
224,[1 0 1 0 0 0 0 0 1 1],0.002352825845988628
225,[1 0 0 1 1 1 0 0 0 0],0.0009132543845874239
226,[1 0 0 1 1 0 1 0 0 0],0.0009870309167885093
227,[1 0 0 1 1 0 0 1 0 0],0.0011659307707419472
228,[1 0 0 1 1 0 0 0 1 0],0.0015941769869679719
229,[1 0 0 1 1 0 0 0 0 1],0.0012051311579146097
230,[1 0 0 1 0 1 1 0 0 0],0.0010108776226163414
231,[1 0 0 1 0 1 0 1 0 0],0.0011940997040879916
232,[1 0 0 1 0 1 0 0 1 0],0.0016326923657662535
233,[1 0 0 1 0 1 0 0 0 1],0.001234247174158812
234,[1 0 0 1 0 0 1 1 0 0],0.0012905641030076342
235,[1 0 0 1 0 0 1 0 1 0],0.001764588125513235
236,[1 0 0 1 0 0 1 0 0 1],0.0013339548546530734
237,[1 0 0 1 0 0 0 1 1 0],0.0020844206176599124
238,[1 0 0 1 0 0 0 1 0 1],0.00157573484818599
239,[1 0 0 1 0 0 0 0 1 1],0.00215450204727254
240,[1 0 0 0 1 1 1 0 0 0],0.0008186931675812986
241,[1 0 0 0 1 1 0 1 0 0],0.0009670817191674232
242,[1 0 0 0 1 1 0 0 1 0],0.001322290705333267
243,[1 0 0 0 1 1 0 0 0 1],0.0009995964951475123
244,[1 0 0 0 1 0 1 1 0 0],0.001045206649963643
245,[1 0 0 0 1 0 1 0 1 0],0.0014291109127668041
246,[1 0 0 0 1 0 1 0 0 1],0.001080348106370993
247,[1 0 0 0 1 0 0 1 1 0],0.0016881379900635406
248,[1 0 0 0 1 0 0 1 0 1],0.001276161748234915
249,[1 0 0 0 1 0 0 0 1 1],0.0017448957877578752
250,[1 0 0 0 0 1 1 1 0 0],0.0010704588837964731
251,[1 0 0 0 0 1 1 0 1 0],0.0014636382887105877
252,[1 0 0 0 0 1 1 0 0 1],0.001106449359174814
